location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,oil and fats,Oil (vegetable),L,actual,Retail,MRU,48.42,2013-08-15,2013-09-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,29.33,2013-09-15,2013-10-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.08,2013-09-15,2013-10-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,18.33,2013-09-15,2013-10-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.33,2013-09-15,2013-10-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,miscellaneous food,Sugar,KG,actual,Retail,MRU,28.33,2013-09-15,2013-10-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,oil and fats,Oil (vegetable),L,actual,Retail,MRU,49.33,2013-09-15,2013-10-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,29.33,2013-10-15,2013-11-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.0,2013-10-15,2013-11-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,21.58,2013-10-15,2013-11-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.33,2013-10-15,2013-11-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,miscellaneous food,Sugar,KG,actual,Retail,MRU,26.83,2013-10-15,2013-11-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,oil and fats,Oil (vegetable),L,actual,Retail,MRU,50.0,2013-10-15,2013-11-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,29.33,2013-11-15,2013-12-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.0,2013-11-15,2013-12-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,18.8,2013-11-15,2013-12-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.33,2013-11-15,2013-12-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,miscellaneous food,Sugar,KG,actual,Retail,MRU,28.33,2013-11-15,2013-12-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,oil and fats,Oil (vegetable),L,actual,Retail,MRU,50.0,2013-11-15,2013-12-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,27.88,2013-12-15,2014-01-14
