,date,price,unit,commodity_category,lat,lon,price_flag,admin2_name,aggregated_commodity_name,currency_code
127,2020-06-21,53.96550800678363,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
128,2020-06-28,55.72543051103615,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
129,2020-07-05,57.8251652215757,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
130,2020-07-12,58.36997234630855,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
131,2020-07-19,61.665843054571056,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
132,2020-07-26,65.63899068910776,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
133,2020-08-02,69.4585430836932,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
134,2020-08-09,73.2386118941515,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
135,2020-08-16,77.25700349024173,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
136,2020-08-23,78.10028716908187,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
137,2020-08-30,79.36488899736773,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
138,2020-09-06,80.70326192858315,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
139,2020-09-13,81.97507016380371,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
140,2020-09-20,81.91725555132251,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
141,2020-09-27,82.27135389719946,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
142,2020-10-04,82.53131962408155,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
143,2020-10-11,83.56825817138746,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
144,2020-10-18,83.38553564494565,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
145,2020-10-25,84.37446419015487,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
146,2020-11-01,84.9730145793785,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
147,2020-11-08,84.95345840790849,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
148,2020-11-15,86.27276067680812,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
149,2020-11-22,85.76599164609615,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
150,2020-11-29,85.49936443233725,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
151,2020-12-06,85.90835189239942,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
152,2020-12-13,86.13169163741406,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
153,2020-12-20,85.73303038446196,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
154,2020-12-27,85.40234041570332,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
